Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
121,54,0.74,233,318,2
83,35,0.51,256,234,25
80,35,0.49,256,230,19
80,34,0.49,260,217,8
77,32,0.47,244,208,28
113,51,0.69,215,264,5
107,50,0.65,202,225,11
101,46,0.62,219,241,12
89,39,0.54,251,238,9
88,37,0.54,254,237,16
112,52,0.68,209,271,13
102,44,0.62,216,229,6
100,47,0.61,225,225,10
90,40,0.55,223,225,20
79,32,0.48,259,216,24
103,49,0.63,222,272,1
95,43,0.58,233,244,29
90,40,0.55,210,204,17
84,38,0.51,246,219,21
62,27,0.38,284,214,30
103,48,0.63,191,222,23
101,47,0.62,237,257,4
88,41,0.54,225,236,3
87,38,0.53,218,222,18
79,34,0.48,264,222,27
100,45,0.61,207,235,15
94,44,0.57,238,225,26
91,39,0.55,200,206,7
88,39,0.54,223,217,14
74,30,0.45,267,214,22
117,53,0.71,204,257,5
91,42,0.55,238,245,9
83,36,0.51,257,230,16
79,36,0.48,252,208,11
79,34,0.48,234,207,12
116,53,0.71,196,274,7
93,41,0.57,247,249,14
91,41,0.55,234,250,15
83,36,0.51,237,217,26
81,34,0.49,293,250,22
112,51,0.68,244,295,6
104,46,0.63,216,264,13
92,41,0.56,233,233,20
92,41,0.56,230,226,24
88,40,0.54,233,213,10
108,50,0.66,245,272,2
97,45,0.59,226,239,19
93,41,0.57,231,234,28
76,35,0.46,280,257,25
66,24,0.4,279,210,8
106,51,0.65,209,244,23
99,45,0.6,239,264,4
99,44,0.6,238,264,3
95,43,0.58,218,210,18
61,26,0.37,279,201,27
100,45,0.61,220,246,1
98,46,0.6,248,254,17
89,40,0.54,200,219,21
85,38,0.52,248,234,30
69,32,0.42,257,199,29
115,54,0.7,184,257,6
91,41,0.55,229,230,10
88,40,0.54,235,239,13
80,34,0.49,218,193,24
79,33,0.48,237,205,20
108,49,0.66,193,222,5
102,47,0.62,191,205,9
97,45,0.59,207,242,16
83,38,0.51,231,214,11
71,32,0.43,266,231,12
104,47,0.63,222,262,14
94,43,0.57,247,261,26
94,41,0.57,222,212,7
90,39,0.55,242,255,15
83,36,0.51,260,231,22
102,47,0.62,216,247,4
99,46,0.6,197,206,23
97,42,0.59,199,213,18
95,42,0.58,233,248,3
79,35,0.48,243,194,27
98,44,0.6,218,223,21
95,44,0.58,219,231,29
94,42,0.57,227,229,17
88,41,0.54,251,235,30
88,39,0.54,215,213,1
94,43,0.57,231,242,2
92,43,0.56,249,252,19
85,38,0.52,226,216,28
76,34,0.46,272,216,25
71,31,0.43,267,223,8
117,53,0.71,204,257,2
91,42,0.55,238,245,17
83,36,0.51,257,230,20
79,36,0.48,252,208,4
79,34,0.48,234,207,9
116,53,0.71,196,274,14
93,41,0.57,247,249,19
91,41,0.55,234,250,11
83,36,0.51,237,217,13
81,34,0.49,293,250,29
112,51,0.68,244,295,7
104,46,0.63,216,264,3
92,41,0.56,233,233,15
92,41,0.56,230,226,27
88,40,0.54,233,213,10
108,50,0.66,245,272,1
97,45,0.59,226,239,24
93,41,0.57,231,234,28
76,35,0.46,280,257,23
66,24,0.4,279,210,25
106,51,0.65,209,244,6
99,45,0.6,239,264,8
99,44,0.6,238,264,18
95,43,0.58,218,210,21
61,26,0.37,279,201,26
100,45,0.61,220,246,5
98,46,0.6,248,254,16
